match_type,seriesId,seriesName,matchId,matchDesc,matchFormat,matchstartDate,matchendDate,matchstate,matchstatus,team1Id,team1Name,team1SName,team2Id,team2Name,team2SName,venueid,match_ground_name,match_city,timezone,latitude,longitude,currBatTeamId,team1inningsId,team1runs,team1wickets,team1overs,team2runs,team2wickets,team2overs
Domestic,7261,CSA Four-Day Series Division One 2023-24,83053,24th Match,TEST,2024-02-14,2024-02-17,Stumps,Day 3: Stumps - North West trail by 147 runs,90,Dolphins,DOL,922,North West,NWEST,493,North-West University No1 Ground,Potchefstroom,7200,-26.714530,27.097048,922,1,643,8,119.1,282,10,87.5
Women,6311,"South Africa Women tour of Australia, 2024",70473,Only Test,TEST,2024-02-15,2024-02-18,Stumps,Day 2: Stumps - South Africa Women trail by 432 runs,260,South Africa Women,RSAW,100,Australia Women,AUSW,38,W.A.C.A. Ground,Perth,28800,-31.959806,115.879585,260,1,76,10,31.2,575,9,125.2
Domestic,7236,CSA Four-Day Series Division Two 2023-24,82567,19th Match,TEST,2024-02-15,2024-02-18,Stumps,Day 2: Stumps - South Western Districts lead by 14 runs,903,Mpumalanga Rhinos,MPR,1768,South Western Districts,SWD,468,Recreation Ground,Oudtshoorn,7200,22.1970307,-33.5934657,1768,1,255,10,62.6,269,8,64.4
Domestic,6990,Sheffield Shield 2023-24,79272,24th Match,TEST,2024-02-16,2024-02-19,Stumps,Day 1: Stumps - Queensland trail by 20 runs,158,South Australia,SAUS,164,Queensland,QL,527,Karen Rolton Oval,"Adelaide, South Australia",37800,-34.9191215,138.5815232,164,1,132,10,40.3,112,7,40.6
Domestic,7236,CSA Four-Day Series Division Two 2023-24,82577,21st Match,TEST,2024-02-15,2024-02-18,Stumps,Day 2: Stumps - Northern Cape lead by 11 runs,912,Limpopo,LIMPO,923,Northern Cape,NCAPE,772,Polokwane Cricket Club,Polokwane,7200,-23.912260,29.453550,923,1,275,10,94.0,286,4,96.0
Domestic,7261,CSA Four-Day Series Division One 2023-24,83043,22nd Match,TEST,2024-02-14,2024-02-17,Stumps,Day 3: Stumps - Titans trail by 174 runs,1766,KwaZulu-Natal Inland,KZNIN,89,Titans,TIT,206,City Oval,Pietermaritzburg,7200,-29.551181,30.407238,89,1,426,10,159.0,252,1,70.0
Domestic,7236,CSA Four-Day Series Division Two 2023-24,82570,20th Match,TEST,2024-02-15,2024-02-18,Stumps,Day 2: Stumps - Eastern Storm lead by 205 runs,933,Eastern Storm,ESTORM,1775,Border,BOR,135,Willowmoore Park,Benoni,7200,55.430751,-4.634697,933,1,252,10,104.5,126,10,51.5
League,7422,Bangladesh Premier League 2024,87078,34th Match,T20,2024-02-16,2024-02-16,Complete,Rangpur Riders won by 18 runs,256,Rangpur Riders,RGR,622,Chattogram Challengers,CGC,93,Zahur Ahmed Chowdhury Stadium,Chattogram,21600,22.355898,91.767766,256,1,187,8,19.6,169,6,19.6
Domestic,6725,Ranji Trophy 2023-24,74790,Elite Group D,TEST,2024-02-16,2024-02-19,Stumps,Day 1: Stumps - Jammu and Kashmir trail by 158 runs,167,Madhya Pradesh,MP,252,Jammu and Kashmir,JK,152,Holkar Cricket Stadium,Indore,19800,22.724371,75.879701,252,1,200,10,65.4,42,3,16.6
Domestic,7261,CSA Four-Day Series Division One 2023-24,83050,23rd Match,TEST,2024-02-14,2024-02-17,Stumps,Day 3: Stumps - Boland trail by 18 runs,1759,Boland,BOL,157,Lions,LIONS,88,The Wanderers Stadium,Johannesburg,7200,-26.131141,28.057397,1759,1,226,10,83.1,478,10,128.5
Domestic,6725,Ranji Trophy 2023-24,74779,Elite Group A,TEST,2024-02-16,2024-02-19,Stumps,Day 1: Stumps - Saurashtra lead by 11 runs,461,Manipur,MNP,94,Saurashtra,SAUR,1748,Sanosara Cricket Ground A,Rajkot,19800,22.4894023,68.2051849,94,1,142,10,44.6,153,3,42.6
Domestic,6725,Ranji Trophy 2023-24,74835,Elite Group B,TEST,2024-02-16,2024-02-19,Stumps,Day 1: Stumps - Mumbai lead by 133 runs,162,Assam,ASM,95,Mumbai,MUM,341,Sharad Pawar Cricket Academy BKC,Mumbai,19800,19.061309,72.866381,95,1,84,10,32.1,217,6,48.4
Domestic,6725,Ranji Trophy 2023-24,74814,Elite Group D,TEST,2024-02-16,2024-02-19,Stumps,Day 1: Stumps,251,Himachal Pradesh,HP,465,Puducherry,PDC,543,Cricket Association Puducherry Siechem Ground,Puducherry,19800,11.912200,79.737396,251,1,272,4,89.6,,,
Domestic,6725,Ranji Trophy 2023-24,74786,Elite Group A,TEST,2024-02-16,2024-02-19,Stumps,Day 1: Stumps - Rajasthan trail by 109 runs,243,Jharkhand,JHKD,171,Rajasthan,RAJ,49,Keenan Stadium,Jamshedpur,19800,22.805692,86.19144,171,1,188,10,58.3,79,2,28.6
Domestic,6725,Ranji Trophy 2023-24,74797,Elite Group A,TEST,2024-02-16,2024-02-19,Stumps,Day 1: Stumps - Services trail by 198 runs,254,Maharashtra,MAH,250,Services,SER,321,Palam A Stadium,Delhi,19800,28.591533,77.133741,250,1,225,10,78.6,27,,8.6
Domestic,6725,Ranji Trophy 2023-24,74821,Elite Group B,TEST,2024-02-16,2024-02-19,Stumps,Day 1: Stumps - Bengal lead by 16 runs,460,Bihar,BIH,232,Bengal,BEN,31,Eden Gardens,Kolkata,19800,22.564527,88.343247,232,1,95,10,46.4,111,2,32.6
Domestic,6725,Ranji Trophy 2023-24,74783,Elite Group C,TEST,2024-02-16,2024-02-19,Stumps,Day 1: Stumps,253,Goa,GOA,163,Gujarat,GUJ,310,Goa Cricket Association Academy Ground,Porvorim,19800,15.524168,73.829683,253,1,309,9,82.6,,,
Domestic,6725,Ranji Trophy 2023-24,74807,Elite Group A,TEST,2024-02-16,2024-02-19,Stumps,Day 1: Stumps,248,Vidarbha,VID,200,Haryana,HAR,29,Vidarbha Cricket Association Ground,Nagpur,19800,21.157219,79.076596,248,1,313,5,85.6,,,
Domestic,6725,Ranji Trophy 2023-24,74825,Elite Group D,TEST,2024-02-16,2024-02-19,Stumps,Day 1: Stumps,249,Odisha,ODSA,81,Delhi,DEL,386,Jamia Millia Islamia University Ground,Delhi,19800,28.562276,77.279108,249,1,314,4,87.6,,,
International,7558,East Asia Cup 2024,89066,6th Match,T20,2024-02-16,2024-02-16,Complete,Japan won by 44 runs,547,Japan,JPN,524,China,CHN,454,Mission Road Ground,Mong Kok,28800,22.323286,114.1828583,547,1,143,10,19.3,99,8,19.6
Domestic,6725,Ranji Trophy 2023-24,74828,Elite Group B,TEST,2024-02-16,2024-02-19,Stumps,Day 1: Stumps,241,Andhra,AP,244,Kerala,KER,411,Dr PVG Raju ACA Sports Complex,Vizianagaram,19800,18.106658,83.395551,241,1,260,7,89.3,,,
Domestic,6990,Sheffield Shield 2023-24,79258,22nd Match,TEST,2024-02-15,2024-02-19,Stumps,Day 1: Stumps,104,New South Wales,NSW,52,Victoria,VIC,34,Sydney Cricket Ground,Sydney,39600,-33.868820,151.209296,104,1,252,10,86.5,,,
Domestic,6725,Ranji Trophy 2023-24,74800,Elite Group D,TEST,2024-02-16,2024-02-19,Stumps,Day 1: Stumps,467,Uttarakhand,UTK,170,Baroda,BRD,545,Abhimanyu Cricket Academy,Dehradun,19800,30.405380,77.794937,467,1,295,5,88.6,,,
Domestic,6725,Ranji Trophy 2023-24,74846,Elite Group C,TEST,2024-02-16,2024-02-19,Stumps,Day 1: Stumps,595,Chandigarh,CDG,128,Karnataka,KAR,329,KSCA Hubli Cricket Ground,Hubli,19800,15.370228,75.127888,595,1,219,6,88.6,,,
Domestic,6725,Ranji Trophy 2023-24,74853,Elite Group C,TEST,2024-02-16,2024-02-19,Stumps,Day 1: Stumps,92,Tamil Nadu,TN,245,Punjab,PUN,756,SCF Cricket Ground,Salem,19800,11.6469027,78.292597,92,1,291,4,89.6,,,
International,7579,Quadrangular Twenty20 Series in Thailand 2024,89329,6th Match,T20,2024-02-15,2024-02-15,Complete,Saudi Arabia won by 166 runs,571,Saudi Arabia,SAU,555,Bhutan,BTN,474,Terdthai Cricket Ground,Bangkok,25200,13.756331,100.501765,571,1,221,3,19.6,55,10,14.2
International,7579,Quadrangular Twenty20 Series in Thailand 2024,89304,2nd Match,T20,2024-02-12,2024-02-12,Complete,Saudi Arabia won by 98 runs,571,Saudi Arabia,SAU,563,Maldives,MDV,474,Terdthai Cricket Ground,Bangkok,25200,13.756331,100.501765,571,1,186,6,19.6,88,8,19.6
International,6927,"England tour of India, 2024",78642,3rd Test,TEST,2024-02-15,2024-02-19,Stumps,Day 2: Stumps - England trail by 238 runs,2,India,IND,9,England,ENG,290,Saurashtra Cricket Association Stadium,Rajkot,19800,22.289721,70.793182,9,1,445,10,130.5,207,2,34.6
International,7579,Quadrangular Twenty20 Series in Thailand 2024,89339,3rd place play-off,T20,2024-02-16,2024-02-16,Complete,Bhutan won by 4 wkts,563,Maldives,MDV,555,Bhutan,BTN,474,Terdthai Cricket Ground,Bangkok,25200,13.756331,100.501765,555,1,138,6,19.6,141,6,19.2
Domestic,6725,Ranji Trophy 2023-24,74776,Elite Group C,TEST,2024-02-16,2024-02-19,Stumps,Day 1: Stumps - Railways trail by 77 runs,247,Tripura,TRI,246,Railways,RLYS,316,Maharaja Bir Bikram College Stadium,Agartala,19800,23.828066,91.297049,246,1,149,10,52.1,72,7,25.6
Domestic,7261,CSA Four-Day Series Division One 2023-24,83036,21st Match,TEST,2024-02-14,2024-02-17,Complete,Western Province won by 64 runs,917,Western Province,WPR,155,Warriors,WAR,73,St George's Park,Gqeberha,7200,-33.966545,25.610332,917,1,141,10,42.4,111,10,31.0
Domestic,6990,Sheffield Shield 2023-24,79265,23rd Match,TEST,2024-02-15,2024-02-19,Stumps,Day 1: Stumps - Western Australia trail by 65 runs,166,Tasmania,TAS,87,Western Australia,WA,39,Bellerive Oval,Hobart,39600,-42.877296,147.374013,87,1,183,10,48.6,118,4,38.6
International,7579,Quadrangular Twenty20 Series in Thailand 2024,89315,4th Match,T20,2024-02-13,2024-02-13,Complete,Maldives won by 9 wkts,555,Bhutan,BTN,563,Maldives,MDV,474,Terdthai Cricket Ground,Bangkok,25200,13.756331,100.501765,563,1,115,6,19.6,119,1,14.3
Domestic,6725,Ranji Trophy 2023-24,74839,Elite Group B,TEST,2024-02-16,2024-02-19,Stumps,Day 1: Stumps,375,Chhattisgarh,CG,93,Uttar Pradesh,UP,485,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,19800,26.846694,80.946166,375,1,238,4,86.6,,,
