match_type,seriesId,seriesName,matchId,matchDesc,matchFormat,matchstartDate,matchendDate,matchstate,matchstatus,team1Id,team1Name,team1SName,team2Id,team2Name,team2SName,venueid,match_ground_name,match_city,timezone,latitude,longitude,currBatTeamId,team1_innings1_inningsId,team1_innings1_runs,team1_innings1_wickets,team1_innings1_overs,team1_innings2_inningsId,team1_innings2_runs,team1_innings2_wickets,team1_innings2_overs,team2_innings1_inningsId,team2_innings1_runs,team2_innings1_wickets,team2_innings1_overs,team2_innings2_inningsId,team2_innings2_runs,team2_innings2_wickets,team2_innings2_overs,responseLastUpdated
International,7511,ACC Mens T20I Challenger Cup 2024,88368,"11th Match, Group B",T20,2024-02-06,2024-02-06,Complete,Singapore won by 34 runs,190,Singapore,SIN,547,Japan,JPN,474,Terdthai Cricket Ground,Bangkok,25200,13.756331,100.501765,190,1,176,5,19.6,,,,,2,142,8,19.6,,,,,1970-01-20
International,7511,ACC Mens T20I Challenger Cup 2024,88382,5th Place Play-off,T20,2024-02-07,2024-02-07,Complete,Thailand won by 7 wkts,566,Indonesia,IDN,384,Thailand,THAI,474,Terdthai Cricket Ground,Bangkok,25200,13.756331,100.501765,384,1,131,8,19.6,,,,,2,132,3,17.2,,,,,1970-01-20
International,7579,Quadrangular Twenty20 Series in Thailand 2024,89315,4th Match,T20,2024-02-13,2024-02-13,Complete,Maldives won by 9 wkts,555,Bhutan,BTN,563,Maldives,MDV,474,Terdthai Cricket Ground,Bangkok,25200,13.756331,100.501765,563,1,115,6,19.6,,,,,2,119,1,14.3,,,,,1970-01-20
International,7553,"Canada tour of Nepal, 2024",89033,2nd ODI,ODI,2024-02-10,2024-02-10,Complete,Nepal won by 4 wkts,26,Canada,CAN,72,Nepal,NEP,458,Tribhuvan University International Cricket Ground,Kirtipur,20700,27.6768145,85.287199,72,1,285,9,49.6,,,,,2,287,6,45.1,,,,,1970-01-20
International,7579,Quadrangular Twenty20 Series in Thailand 2024,89297,1st Match,T20,2024-02-12,2024-02-12,Complete,Thailand won by 10 wkts,555,Bhutan,BTN,384,Thailand,THAI,474,Terdthai Cricket Ground,Bangkok,25200,13.756331,100.501765,384,1,70,10,17.6,,,,,2,72,,6.5,,,,,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74730,Elite Group A,TEST,2024-02-09,2024-02-12,Complete,Haryana won by an innings and 205 runs,200,Haryana,HAR,243,Jharkhand,JHKD,49,Keenan Stadium,Jamshedpur,19800,22.805692,86.19144,200,1,509,10,134.5,,,,,2,119,10,39.3,3,185,10,61.4,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74748,Elite Group D,TEST,2024-02-09,2024-02-12,Complete,Uttarakhand won by 162 runs,467,Uttarakhand,UTK,249,Odisha,ODSA,103,Barabati Stadium,Cuttack,19800,20.481065,85.868545,467,1,342,10,131.3,3,203,8,55.6,2,169,10,56.4,4,214,10,91.4,1970-01-20
League,7044,"SA20, 2024",80096,29th Match,T20,2024-02-03,2024-02-03,Complete,Joburg Super Kings won by 7 wkts,1242,Durban Super Giants,DSG,1249,Joburg Super Kings,JSK,88,The Wanderers Stadium,Johannesburg,7200,-26.131141,28.057397,1249,1,203,6,19.6,,,,,2,209,3,19.5,,,,,1970-01-20
International,7511,ACC Mens T20I Challenger Cup 2024,88403,Semi Final 2,T20,2024-02-09,2024-02-09,Complete,Cambodia won by 6 wkts,190,Singapore,SIN,1447,Cambodia,CBD,474,Terdthai Cricket Ground,Bangkok,25200,13.756331,100.501765,1447,1,109,10,19.6,,,,,2,113,4,14.5,,,,,1970-01-20
International,7511,ACC Mens T20I Challenger Cup 2024,88347,"8th Match, Group B",T20,2024-02-04,2024-02-04,Complete,Japan won by 42 runs,547,Japan,JPN,563,Maldives,MDV,474,Terdthai Cricket Ground,Bangkok,25200,13.756331,100.501765,547,1,150,8,19.6,,,,,2,108,10,18.4,,,,,1970-01-20
League,7044,"SA20, 2024",80103,Qualifier 1,T20,2024-02-06,2024-02-06,Complete,Sunrisers Eastern Cape won by 51 runs,1256,Sunrisers Eastern Cape,SEC,1242,Durban Super Giants,DSG,52,Newlands,Cape Town,7200,-33.979629,18.459466,1256,1,157,8,19.6,,,,,2,106,10,19.3,,,,,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74643,Elite Group B,TEST,2024-02-02,2024-02-05,Complete,Andhra won by an innings and 157 runs,460,Bihar,BIH,241,Andhra,AP,234,Moin-ul-Haq Stadium,Patna,19800,25.607925,85.167619,241,1,182,10,86.5,3,124,10,51.1,2,463,10,119.2,,,,,1970-01-20
Domestic,7175,ICC Under 19 World Cup 2024,86725,Semi-Final 2,ODI,2024-02-08,2024-02-08,Complete,Australia U19 won by 1 wkt,56,Pakistan U19,PAKU19,129,Australia U19,AUSU19,135,Willowmoore Park,Benoni,7200,55.430751,-4.634697,129,1,179,10,48.5,,,,,2,181,9,49.1,,,,,1970-01-20
Domestic,6983,Australia Domestic One-Day Cup 2023-24,79193,17th Match,ODI,2024-02-07,2024-02-08,Complete,Victoria won by 3 wkts,158,South Australia,SAUS,52,Victoria,VIC,122,Junction Oval,Melbourne,39600,-37.856007,144.980155,52,1,231,9,49.6,,,,,2,234,7,44.1,,,,,1970-01-20
League,7044,"SA20, 2024",80099,30th Match,T20,2024-02-04,2024-02-04,Complete,Sunrisers Eastern Cape won by 5 wkts,1235,Paarl Royals,PR,1256,Sunrisers Eastern Cape,SEC,73,St George's Park,Gqeberha,7200,-33.966545,25.610332,1256,1,159,7,19.6,,,,,2,165,5,19.5,,,,,1970-01-20
Domestic,7009,The Ford Trophy 2023-24,79529,26th Match,ODI,2024-02-13,2024-02-14,Complete,Canterbury won by 183 runs,312,Canterbury,CNTBRY,313,Central Districts,CD,371,Hagley Oval,Christchurch,46800,-43.535831,172.624863,312,1,349,8,49.6,,,,,2,166,10,39.2,,,,,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74692,Elite Group B,TEST,2024-02-09,2024-02-12,Complete,Match drawn,241,Andhra,AP,93,Uttar Pradesh,UP,411,Dr PVG Raju ACA Sports Complex,Vizianagaram,19800,18.106658,83.395551,,1,261,10,95.1,3,429,9,144.6,2,198,10,51.5,,,,,1970-01-20
Domestic,7175,ICC Under 19 World Cup 2024,86721,Semi-Final 1,ODI,2024-02-06,2024-02-06,Complete,India U19 won by 2 wkts,57,South Africa U19,RSAU19,54,India U19,INDU19,135,Willowmoore Park,Benoni,7200,55.430751,-4.634697,54,1,244,7,49.6,,,,,2,248,8,48.5,,,,,1970-01-20
League,7044,"SA20, 2024",80089,27th Match,T20,2024-02-02,2024-02-02,Complete,Sunrisers Eastern Cape won by 44 runs,1256,Sunrisers Eastern Cape,SEC,1235,Paarl Royals,PR,207,Boland Park,Paarl,7200,-33.730900,18.970760,1256,1,208,4,19.6,,,,,2,164,7,19.6,,,,,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74727,Elite Group C,TEST,2024-02-09,2024-02-12,Complete,Match drawn,595,Chandigarh,CDG,247,Tripura,TRI,120,Sector 16 Stadium,Chandigarh,19800,30.741797,76.774915,,1,356,10,116.0,3,359,3,74.0,2,438,10,121.0,4,121,3,34.4,1970-01-20
International,6297,"West Indies tour of Australia, 2024",70354,3rd ODI,ODI,2024-02-06,2024-02-06,Complete,Australia won by 8 wkts,10,West Indies,WI,4,Australia,AUS,123,Manuka Oval,Canberra,39600,-35.318630,149.136703,4,1,86,10,24.1,,,,,2,87,2,6.5,,,,,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74674,Plate,TEST,2024-02-02,2024-02-05,Complete,Meghalaya won by 6 wkts,466,Sikkim,SKM,462,Meghalaya,MGLY,1265,SICA ground,Rangpo,19800,27.177401,88.530701,462,1,284,10,95.2,3,80,10,31.4,2,191,10,51.1,4,177,4,50.2,1970-01-20
Domestic,7009,The Ford Trophy 2023-24,79531,27th Match,ODI,2024-02-13,2024-02-14,Complete,Auckland won by 4 wkts,314,Wellington,WEL,186,Auckland,AKL,45,Basin Reserve,Wellington,46800,-41.161720,175.323914,186,1,285,8,49.6,,,,,2,289,6,49.6,,,,,1970-01-20
International,7558,East Asia Cup 2024,89042,1st Match,T20,2024-02-14,2024-02-14,Complete,Hong Kong won by 123 runs,8,Hong Kong,HK,524,China,CHN,454,Mission Road Ground,Mong Kok,28800,22.323286,114.1828583,8,1,171,5,19.6,,,,,2,48,8,19.6,,,,,1970-01-20
Domestic,7009,The Ford Trophy 2023-24,79517,24th Match,ODI,2024-02-10,2024-02-10,Complete,No result,312,Canterbury,CNTBRY,294,Northern Knights,NK,371,Hagley Oval,Christchurch,46800,-43.535831,172.624863,,1,273,10,49.3,,,,,2,29,2,9.6,,,,,1970-01-20
International,7558,East Asia Cup 2024,89052,3rd Match,T20,2024-02-15,2024-02-15,Complete,Japan won by 180 runs,547,Japan,JPN,524,China,CHN,454,Mission Road Ground,Mong Kok,28800,22.323286,114.1828583,547,1,258,,19.6,,,,,2,78,10,16.5,,,,,1970-01-20
International,7558,East Asia Cup 2024,89063,5th Match,T20,2024-02-16,2024-02-16,Complete,Hong Kong won by 10 wkts,524,China,CHN,8,Hong Kong,HK,454,Mission Road Ground,Mong Kok,28800,22.323286,114.1828583,8,1,41,10,12.4,,,,,2,42,,4.6,,,,,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74608,Elite Group D,TEST,2024-02-02,2024-02-05,Complete,Match drawn,252,Jammu and Kashmir,JK,467,Uttarakhand,UTK,1251,Hostel Ground JKCA,Jammu,19800,34.0900416,74.8124651,,1,168,2,38.6,,,,,,,,,,,,,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74653,Elite Group B,TEST,2024-02-02,2024-02-05,Complete,Match drawn,93,Uttar Pradesh,UP,162,Assam,ASM,32,Green Park,Kanpur,19800,26.482069,80.34773,,1,548,8,128.3,,,,,2,316,2,113.0,,,,,1970-01-20
League,7257,"International League T20, 2024",82875,26th Match,T20,2024-02-08,2024-02-08,Complete,Gulf Giants won by 5 runs,1319,Gulf Giants,GG,1307,MI Emirates,MIE,153,Dubai International Cricket Stadium,Dubai,14400,25.046842,55.218969,1319,1,158,7,19.6,,,,,2,153,7,19.6,,,,,1970-01-20
Women,7565,Asian Cricket Council Womens Premier Cup 2024,89105,"6th Match, Group B",T20,2024-02-10,2024-02-10,Complete,Japan Women won by 14 runs,487,Japan Women,JPNW,505,Oman Women,OMANW,1853,YSD-UKM Cricket Oval,Bangi,28800,2.9348189,101.7823779,487,1,130,4,19.6,,,,,2,116,5,19.6,,,,,1970-01-20
International,7481,"Afghanistan tour of Sri Lanka, 2024",87894,2nd ODI,ODI,2024-02-11,2024-02-11,Complete,Sri Lanka won by 155 runs,5,Sri Lanka,SL,96,Afghanistan,AFG,254,Pallekele International Cricket Stadium,Pallekele,19800,7.280691,80.722493,5,1,308,6,49.6,,,,,2,153,10,33.5,,,,,1970-01-20
International,7579,Quadrangular Twenty20 Series in Thailand 2024,89339,3rd place play-off,T20,2024-02-16,2024-02-16,Complete,Bhutan won by 4 wkts,563,Maldives,MDV,555,Bhutan,BTN,474,Terdthai Cricket Ground,Bangkok,25200,13.756331,100.501765,555,1,138,6,19.6,,,,,2,141,6,19.2,,,,,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74678,Elite Group B,TEST,2024-02-09,2024-02-12,Complete,Kerala won by 109 runs,244,Kerala,KER,232,Bengal,BEN,470,St Xavier's College Ground,"Thumba, Thiruvananthapuram",19800,8.5602859,76.8449651,244,1,363,10,127.3,3,265,6,64.2,2,180,10,51.1,4,339,10,87.4,1970-01-20
Women,7497,"Ireland Women tour of Zimbabwe, 2024",88186,5th T20I,T20,2024-02-02,2024-02-02,Complete,Ireland Women won by 14 runs,189,Ireland Women,IREW,388,Zimbabwe Women,ZIMW,69,Harare Sports Club,Harare,7200,-17.814114,31.050962,189,1,138,7,19.6,,,,,2,124,8,19.6,,,,,1970-01-20
International,7579,Quadrangular Twenty20 Series in Thailand 2024,89322,5th Match,T20,2024-02-15,2024-02-15,Complete,Thailand won by 8 wkts,563,Maldives,MDV,384,Thailand,THAI,474,Terdthai Cricket Ground,Bangkok,25200,13.756331,100.501765,384,1,105,10,18.3,,,,,2,109,2,12.6,,,,,1970-01-20
League,7422,Bangladesh Premier League 2024,87061,30th Match,T20,2024-02-13,2024-02-13,Complete,Rangpur Riders won by 78 runs,256,Rangpur Riders,RGR,627,Khulna Tigers,KLT,93,Zahur Ahmed Chowdhury Stadium,Chattogram,21600,22.355898,91.767766,256,1,219,5,19.6,,,,,2,141,10,18.2,,,,,1970-01-20
International,7511,ACC Mens T20I Challenger Cup 2024,88396,Semi Final 1,T20,2024-02-09,2024-02-09,Complete,Saudi Arabia won by 10 wkts,547,Japan,JPN,571,Saudi Arabia,SAU,474,Terdthai Cricket Ground,Bangkok,25200,13.756331,100.501765,571,1,97,8,19.6,,,,,2,98,,8.6,,,,,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74706,Elite Group C,TEST,2024-02-09,2024-02-12,Complete,Gujarat won by 299 runs,163,Gujarat,GUJ,245,Punjab,PUN,46,Punjab Cricket Association IS Bindra Stadium,Mohali,19800,30.690905,76.737455,163,1,339,10,94.3,3,290,8,62.0,2,219,10,56.5,4,111,10,39.4,1970-01-20
League,7257,"International League T20, 2024",82864,22nd Match,T20,2024-02-04,2024-02-04,Complete,Gulf Giants won by 79 runs,1319,Gulf Giants,GG,1312,Sharjah Warriors,SW,153,Dubai International Cricket Stadium,Dubai,14400,25.046842,55.218969,1319,1,187,6,19.6,,,,,2,108,10,17.3,,,,,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74720,Elite Group A,TEST,2024-02-09,2024-02-12,Complete,Saurashtra won by 218 runs,94,Saurashtra,SAUR,171,Rajasthan,RAJ,76,Sawai Mansingh Stadium,Jaipur,19800,26.894012,75.803225,94,1,328,10,116.5,3,234,6,63.6,2,257,10,91.2,4,87,10,28.4,1970-01-20
League,7044,"SA20, 2024",80092,28th Match,T20,2024-02-03,2024-02-03,Complete,Pretoria Capitals won by 4 wkts,1228,MI Cape Town,MICT,1263,Pretoria Capitals,PC,52,Newlands,Cape Town,7200,-33.979629,18.459466,1263,1,163,9,19.6,,,,,2,167,6,19.4,,,,,1970-01-20
Women,7565,Asian Cricket Council Womens Premier Cup 2024,89231,Semi Final 1,T20,2024-02-16,2024-02-16,Complete,United Arab Emirates Women won by 4 runs,449,United Arab Emirates Women,UAEW,382,Thailand Women,THAIW,394,Bayuemas Oval,Kuala Lumpur,28800,2.819586,101.5199,449,1,70,7,19.6,,,,,2,66,10,19.2,,,,,1970-01-20
League,7257,"International League T20, 2024",82861,21st Match,T20,2024-02-04,2024-02-04,Complete,MI Emirates won by 30 runs,1307,MI Emirates,MIE,1326,Desert Vipers,DV,94,Sheikh Zayed Stadium,Abu Dhabi,14400,24.416138,54.453566,1307,1,188,5,19.6,,,,,2,158,8,19.6,,,,,1970-01-20
Domestic,6983,Australia Domestic One-Day Cup 2023-24,79207,21st Match,ODI,2024-02-14,2024-02-14,Complete,New South Wales won by 7 wkts (DLS method),52,Victoria,VIC,104,New South Wales,NSW,301,North Sydney Oval,Sydney,39600,-33.868820,151.209296,104,1,311,10,48.4,,,,,2,256,3,40.5,,,,,1970-01-20
League,7044,"SA20, 2024",80106,Eliminator,T20,2024-02-07,2024-02-07,Complete,Joburg Super Kings won by 9 wkts,1235,Paarl Royals,PR,1249,Joburg Super Kings,JSK,88,The Wanderers Stadium,Johannesburg,7200,-26.131141,28.057397,1249,1,138,10,18.5,,,,,2,139,1,13.2,,,,,1970-01-20
Domestic,7175,ICC Under 19 World Cup 2024,86714,"38th Match, Super Six, Group 2",ODI,2024-02-03,2024-02-03,Complete,England U19 won by 146 runs,173,England U19,ENGU19,221,Zimbabwe U19,ZIMU19,102,Senwes Park,Potchefstroom,7200,-26.695565,27.100691,173,1,237,7,49.6,,,,,2,91,10,24.5,,,,,1970-01-20
International,6297,"West Indies tour of Australia, 2024",70361,1st T20I,T20,2024-02-09,2024-02-09,Complete,Australia won by 11 runs,4,Australia,AUS,10,West Indies,WI,39,Bellerive Oval,Hobart,39600,-42.877296,147.374013,4,1,213,7,19.6,,,,,2,202,8,19.6,,,,,1970-01-20
Women,7565,Asian Cricket Council Womens Premier Cup 2024,89150,"14th Match, Group B",T20,2024-02-11,2024-02-11,Complete,Japan Women won by 4 wkts,486,China Women,CHNW,487,Japan Women,JPNW,511,Royal Selangor Club,Kuala Lumpur,28800,3.1495091,101.6907603,487,1,75,10,19.5,,,,,2,76,6,18.3,,,,,1970-01-20
International,7572,ICC Cricket World Cup League Two 2023-27,89241,1st Match,ODI,2024-02-15,2024-02-15,Complete,Namibia won by 4 wkts,72,Nepal,NEP,161,Namibia,NAM,1489,Mulpani Cricket Ground,Kathmandu,20700,27.717245,85.323959,161,1,132,10,41.1,,,,,2,134,6,33.1,,,,,1970-01-20
Women,7539,"Kuwait Women tour of Malaysia, 2024",88982,3rd T20I,T20,2024-02-06,2024-02-06,Complete,Malaysia Women won by 10 wkts,1097,Kuwait Women,KUWW,445,Malaysia Women,MLYW,1850,Johor Cricket Academy Oval,Johor Bahru,28800,1.51634,103.64003,445,1,77,10,20.0,,,,,2,78,,13.4,,,,,1970-01-20
International,7511,ACC Mens T20I Challenger Cup 2024,88375,"12th Match, Group B",T20,2024-02-06,2024-02-06,Complete,Thailand won by 8 wkts,563,Maldives,MDV,384,Thailand,THAI,474,Terdthai Cricket Ground,Bangkok,25200,13.756331,100.501765,384,1,127,7,19.6,,,,,2,128,2,9.4,,,,,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74615,Elite Group A,TEST,2024-02-02,2024-02-05,Complete,Services won by 1 run,250,Services,SER,200,Haryana,HAR,288,Ch Bansi Lal Cricket Stadium,Rohtak,19800,28.854644,76.46442,250,1,108,10,51.5,3,140,10,38.3,2,103,10,39.2,4,144,10,41.2,1970-01-20
International,7553,"Canada tour of Nepal, 2024",89026,1st ODI,ODI,2024-02-08,2024-02-08,Complete,Nepal won by 7 runs,72,Nepal,NEP,26,Canada,CAN,458,Tribhuvan University International Cricket Ground,Kirtipur,20700,27.6768145,85.287199,72,1,224,10,49.6,,,,,2,217,10,47.5,,,,,1970-01-20
League,7257,"International League T20, 2024",82913,Qualifier 2,T20,2024-02-15,2024-02-15,Complete,Dubai Capitals won by 9 wkts,1319,Gulf Giants,GG,1298,Dubai Capitals,DCP,140,Sharjah Cricket Stadium,Sharjah,14400,25.33095,55.420902,1298,1,138,6,19.6,,,,,2,139,1,15.5,,,,,1970-01-20
League,7257,"International League T20, 2024",82859,20th Match,T20,2024-02-03,2024-02-03,Complete,Abu Dhabi Knight Riders won by 29 runs,1300,Abu Dhabi Knight Riders,ADKR,1298,Dubai Capitals,DCP,94,Sheikh Zayed Stadium,Abu Dhabi,14400,24.416138,54.453566,1300,1,183,10,19.6,,,,,2,154,8,19.6,,,,,1970-01-20
League,7044,"SA20, 2024",80085,26th Match,T20,2024-02-01,2024-02-01,Complete,MI Cape Town won by 34 runs,1228,MI Cape Town,MICT,1263,Pretoria Capitals,PC,75,SuperSport Park,Centurion,7200,-25.859938,28.195531,1228,1,248,4,19.6,,,,,2,214,8,19.6,,,,,1970-01-20
League,7422,Bangladesh Premier League 2024,87026,23rd Match,T20,2024-02-07,2024-02-07,Complete,Comilla Victorians won by 34 runs,319,Comilla Victorians,CV,627,Khulna Tigers,KLT,128,Shere Bangla National Stadium,Dhaka,21600,23.806966,90.363576,319,1,149,7,19.6,,,,,2,115,10,18.5,,,,,1970-01-20
Domestic,6990,Sheffield Shield 2023-24,79244,20th Match,TEST,2024-02-03,2024-02-06,Complete,Tasmania won by 4 wkts,164,Queensland,QL,166,Tasmania,TAS,35,The Gabba,Brisbane,36000,-27.485829,153.038055,166,1,282,10,84.4,3,160,10,57.2,2,219,10,59.4,4,228,6,56.3,1970-01-20
League,7422,Bangladesh Premier League 2024,86998,17th Match,T20,2024-02-02,2024-02-02,Complete,Sylhet Strikers won by 15 runs,1412,Sylhet Strikers,SYST,1895,Durdanto Dhaka,DRD,379,Sylhet International Cricket Stadium,Sylhet,21600,24.898183,91.863608,1412,1,142,8,19.6,,,,,2,127,9,19.6,,,,,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74636,Elite Group D,TEST,2024-02-02,2024-02-05,Complete,Match drawn,249,Odisha,ODSA,465,Puducherry,PDC,103,Barabati Stadium,Cuttack,19800,20.481065,85.868545,,1,300,5,112.6,3,201,10,67.6,2,284,10,86.2,4,175,8,55.6,1970-01-20
International,7511,ACC Mens T20I Challenger Cup 2024,88354,"9th Match, Group A",T20,2024-02-05,2024-02-05,Complete,Saudi Arabia won by 82 runs,571,Saudi Arabia,SAU,566,Indonesia,IDN,474,Terdthai Cricket Ground,Bangkok,25200,13.756331,100.501765,571,1,185,4,19.6,,,,,2,103,9,19.6,,,,,1970-01-20
Domestic,7236,CSA Four-Day Series Division Two 2023-24,82546,16th Match,TEST,2024-02-08,2024-02-11,Complete,Match drawn,923,Northern Cape,NCAPE,1775,Border,BOR,99,Buffalo Park,East London,7200,-33.006727,27.919465,,1,527,5,163.5,,,,,2,516,7,166.5,,,,,1970-01-20
Domestic,7009,The Ford Trophy 2023-24,79501,20th Match,ODI,2024-02-05,2024-02-06,Complete,Canterbury won by 119 runs,312,Canterbury,CNTBRY,186,Auckland,AKL,418,Eden Park Outer Oval,Auckland,46800,-36.874039,174.745636,312,1,287,7,49.6,,,,,2,168,10,39.6,,,,,1970-01-20
Domestic,7236,CSA Four-Day Series Division Two 2023-24,82539,15th Match,TEST,2024-02-01,2024-02-04,Complete,Border won by 9 wkts,281,Knights,KNG,1775,Border,BOR,99,Buffalo Park,East London,7200,-33.006727,27.919465,1775,1,363,10,81.2,3,235,10,80.6,2,483,10,140.6,4,119,1,31.2,1970-01-20
International,7511,ACC Mens T20I Challenger Cup 2024,88319,"4th Match, Group B",T20,2024-02-02,2024-02-02,Complete,Japan won by 46 runs,547,Japan,JPN,384,Thailand,THAI,474,Terdthai Cricket Ground,Bangkok,25200,13.756331,100.501765,547,1,166,6,19.6,,,,,2,120,10,16.5,,,,,1970-01-20
Domestic,7175,ICC Under 19 World Cup 2024,86686,"34th Match, Super Six, Group 2",ODI,2024-02-02,2024-02-02,Complete,No Result,129,Australia U19,AUSU19,220,West Indies U19,WIU19,148,Diamond Oval,Kimberley,7200,-28.742487,24.742101,,1,227,8,49.6,,,,,2,24,2,4.3,,,,,1970-01-20
