match_type,seriesId,seriesName,matchId,matchDesc,matchFormat,matchstartDate,matchendDate,matchstate,matchstatus,team1Id,team1Name,team1SName,team2Id,team2Name,team2SName,venueid,match_ground_name,match_city,timezone,latitude,longitude,isTimeAnnounced,responseLastUpdated
League,7422,Bangladesh Premier League 2024,87134,Qualifier 2,T20,2024-02-27,2024-02-27,Upcoming,"Match starts at Feb 27, 12:30 GMT",106,TBC,TBC,106,TBC,TBC,128,Shere Bangla National Stadium,Dhaka,21600,23.806966,90.363576,true,1970-01-20
League,7422,Bangladesh Premier League 2024,87120,Eliminator,T20,2024-02-25,2024-02-25,Upcoming,"Match starts at Feb 25, 07:30 GMT",106,TBC,TBC,106,TBC,TBC,128,Shere Bangla National Stadium,Dhaka,21600,23.806966,90.363576,true,1970-01-20
Women,7565,Asian Cricket Council Womens Premier Cup 2024,89238,Final,T20,2024-02-18,2024-02-18,Upcoming,"Match starts at Feb 18, 01:30 GMT",106,TBC,TBC,106,TBC,TBC,394,Bayuemas Oval,Kuala Lumpur,28800,2.819586,101.5199,true,1970-01-20
Domestic,7009,The Ford Trophy 2023-24,79536,28th Match,ODI,2024-02-17,2024-02-18,Upcoming,"Match starts at Feb 18, 22:00 GMT",105,Otago,OTG,314,Wellington,WEL,82,John Davies Oval,Queenstown,46800,-45.016205,168.738638,true,1970-01-20
League,7422,Bangladesh Premier League 2024,87141,Final,T20,2024-03-01,2024-03-01,Upcoming,"Match starts at Mar 01, 13:00 GMT",106,TBC,TBC,106,TBC,TBC,128,Shere Bangla National Stadium,Dhaka,21600,23.806966,90.363576,true,1970-01-20
Domestic,6990,Sheffield Shield 2023-24,79286,26th Match,TEST,2024-02-29,2024-03-04,Upcoming,"Match starts at Mar 01, 23:30 GMT",166,Tasmania,TAS,52,Victoria,VIC,39,Bellerive Oval,Hobart,39600,-42.877296,147.374013,true,1970-01-20
Domestic,7023,Plunket Shield 2023-24,79804,15th Match,TEST,2024-02-28,2024-03-03,Upcoming,"Match starts at Feb 29, 21:30 GMT",105,Otago,OTG,186,Auckland,AKL,116,University Oval,Dunedin,46800,-45.874401,170.505005,true,1970-01-20
Domestic,6983,Australia Domestic One-Day Cup 2023-24,79230,Final,ODI,2024-02-24,2024-02-25,Upcoming,"Match starts at Feb 25, 00:00 GMT",104,New South Wales,NSW,87,Western Australia,WA,,TBC,TBC,19800,,,true,1970-01-20
Domestic,7261,CSA Four-Day Series Division One 2023-24,83071,Final,TEST,2024-02-28,2024-03-03,Upcoming,"Match starts at Feb 28, 08:00 GMT",106,TBC,TBC,106,TBC,TBC,,TBC,TBC,19800,,,true,1970-01-20
Domestic,7236,CSA Four-Day Series Division Two 2023-24,82584,Final,TEST,2024-02-24,2024-02-28,Upcoming,"Match starts at Feb 24, 08:00 GMT",106,TBC,TBC,106,TBC,TBC,,TBC,TBC,19800,,,true,1970-01-20
Domestic,7009,The Ford Trophy 2023-24,79550,Qualifier 2 v 3,ODI,2024-02-20,2024-02-21,Upcoming,"Match starts at Feb 21, 22:00 GMT",106,TBC,TBC,106,TBC,TBC,,TBC,TBC,19800,,,true,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74867,1st Quarter Final,TEST,2024-02-23,2024-02-27,Upcoming,"Match starts at Feb 23, 04:00 GMT",106,TBC,TBC,106,TBC,TBC,,TBC,TBC,19800,,,true,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74881,4th Quarter Final,TEST,2024-02-23,2024-02-27,Upcoming,"Match starts at Feb 23, 04:00 GMT",106,TBC,TBC,106,TBC,TBC,,TBC,TBC,19800,,,true,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74877,3rd Quarter Final,TEST,2024-02-23,2024-02-27,Upcoming,"Match starts at Feb 23, 04:00 GMT",106,TBC,TBC,106,TBC,TBC,,TBC,TBC,19800,,,true,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74895,2nd Semi Final,TEST,2024-03-02,2024-03-06,Upcoming,"Match starts at Mar 02, 04:00 GMT",106,TBC,TBC,106,TBC,TBC,,TBC,TBC,19800,,,true,1970-01-20
League,7492,"Pakistan Super League, 2024",88030,16th Match,T20,2024-02-29,2024-02-29,Upcoming,"Match starts at Feb 29, 14:30 GMT",332,Karachi Kings,KRK,331,Quetta Gladiators,QTG,24,National Stadium,Karachi,18000,24.892373,67.086411,true,1970-01-20
League,7492,"Pakistan Super League, 2024",87978,4th Match,T20,2024-02-19,2024-02-19,Upcoming,"Match starts at Feb 19, 14:30 GMT",333,Lahore Qalandars,LHQ,331,Quetta Gladiators,QTG,26,Gaddafi Stadium,Lahore,18000,31.513467,74.333375,true,1970-01-20
Domestic,7023,Plunket Shield 2023-24,79795,13th Match,TEST,2024-02-28,2024-03-03,Upcoming,"Match starts at Feb 29, 21:30 GMT",294,Northern Knights,NK,313,Central Districts,CD,393,Bay Oval,Mount Maunganui,46800,-37.670300,176.212006,true,1970-01-20
League,7492,"Pakistan Super League, 2024",87971,3rd Match,T20,2024-02-18,2024-02-18,Upcoming,"Match starts at Feb 18, 14:30 GMT",437,Multan Sultans,MS,332,Karachi Kings,KRK,22,Multan Cricket Stadium,Multan,18000,30.170782,71.524727,true,1970-01-20
International,6899,"Australia tour of New Zealand, 2024",78089,1st T20I,T20,2024-02-21,2024-02-21,Upcoming,"Match starts at Feb 21, 06:10 GMT",13,New Zealand,NZ,4,Australia,AUS,42,Sky Stadium,Wellington,46800,-41.272964,174.785854,true,1970-01-20
Women,7518,Womens Premier League 2024,88473,8th Match,T20,2024-03-01,2024-03-01,Upcoming,"Match starts at Mar 01, 14:00 GMT",1472,UP Warriorz,UPW,1479,Gujarat Giants,GGT,27,M.Chinnaswamy Stadium,Bengaluru,19800,12.978853,77.599533,true,1970-01-20
League,7492,"Pakistan Super League, 2024",87957,1st Match,T20,2024-02-17,2024-02-17,Preview,"Match starts at Feb 17, 14:30 GMT",333,Lahore Qalandars,LHQ,330,Islamabad United,ISU,26,Gaddafi Stadium,Lahore,18000,31.513467,74.333375,true,1970-01-20
League,7492,"Pakistan Super League, 2024",88013,12th Match,T20,2024-02-25,2024-02-25,Upcoming,"Match starts at Feb 25, 14:30 GMT",333,Lahore Qalandars,LHQ,334,Peshawar Zalmi,PSZ,26,Gaddafi Stadium,Lahore,18000,31.513467,74.333375,true,1970-01-20
League,7492,"Pakistan Super League, 2024",87964,2nd Match,T20,2024-02-18,2024-02-18,Upcoming,"Match starts at Feb 18, 09:00 GMT",334,Peshawar Zalmi,PSZ,331,Quetta Gladiators,QTG,26,Gaddafi Stadium,Lahore,18000,31.513467,74.333375,true,1970-01-20
League,7492,"Pakistan Super League, 2024",88023,14th Match,T20,2024-02-27,2024-02-27,Upcoming,"Match starts at Feb 26, 14:30 GMT",333,Lahore Qalandars,LHQ,437,Multan Sultans,MS,26,Gaddafi Stadium,Lahore,18000,31.513467,74.333375,true,1970-01-20
International,7583,Nepal T20I Tri-Series 2024,89364,5th Match,T20,2024-03-02,2024-03-02,Upcoming,"Match starts at Mar 02, 05:30 GMT",72,Nepal,NEP,24,Netherlands,NED,1489,Mulpani Cricket Ground,Kathmandu,20700,27.717245,85.323959,true,1970-01-20
International,7583,Nepal T20I Tri-Series 2024,89346,2nd Match,T20,2024-02-28,2024-02-28,Upcoming,"Match starts at Feb 28, 05:30 GMT",72,Nepal,NEP,24,Netherlands,NED,1489,Mulpani Cricket Ground,Kathmandu,20700,27.717245,85.323959,true,1970-01-20
League,7492,"Pakistan Super League, 2024",88006,10th Match,T20,2024-02-24,2024-02-24,Upcoming,"Match starts at Feb 24, 14:30 GMT",333,Lahore Qalandars,LHQ,332,Karachi Kings,KRK,26,Gaddafi Stadium,Lahore,18000,31.513467,74.333375,true,1970-01-20
Domestic,7009,The Ford Trophy 2023-24,79543,29th Match,ODI,2024-02-17,2024-02-18,Upcoming,"Match starts at Feb 18, 22:00 GMT",294,Northern Knights,NK,312,Canterbury,CNTBRY,393,Bay Oval,Mount Maunganui,46800,-37.670300,176.212006,true,1970-01-20
Domestic,7261,CSA Four-Day Series Division One 2023-24,83067,28th Match,TEST,2024-02-21,2024-02-24,Upcoming,"Match starts at Feb 21, 08:00 GMT",89,Titans,TIT,157,Lions,LIONS,75,SuperSport Park,Centurion,7200,-25.859938,28.195531,true,1970-01-20
League,7492,"Pakistan Super League, 2024",87988,6th Match,T20,2024-02-21,2024-02-21,Upcoming,"Match starts at Feb 21, 09:00 GMT",332,Karachi Kings,KRK,334,Peshawar Zalmi,PSZ,26,Gaddafi Stadium,Lahore,18000,31.513467,74.333375,true,1970-01-20
International,7583,Nepal T20I Tri-Series 2024,89343,1st Match,T20,2024-02-27,2024-02-27,Upcoming,"Match starts at Feb 27, 05:30 GMT",72,Nepal,NEP,161,Namibia,NAM,1489,Mulpani Cricket Ground,Kathmandu,20700,27.717245,85.323959,true,1970-01-20
Domestic,6990,Sheffield Shield 2023-24,79293,27th Match,TEST,2024-03-01,2024-03-04,Upcoming,"Match starts at Mar 01, 02:30 GMT",87,Western Australia,WA,164,Queensland,QL,38,W.A.C.A. Ground,Perth,28800,-31.959806,115.879585,true,1970-01-20
Domestic,7023,Plunket Shield 2023-24,79802,14th Match,TEST,2024-02-28,2024-03-03,Upcoming,"Match starts at Feb 29, 21:30 GMT",312,Canterbury,CNTBRY,314,Wellington,WEL,420,Mainpower Oval,Rangiora,46800,-43.305302,172.593994,true,1970-01-20
Domestic,7261,CSA Four-Day Series Division One 2023-24,83064,27th Match,TEST,2024-02-21,2024-02-24,Upcoming,"Match starts at Feb 21, 07:00 GMT",1766,KwaZulu-Natal Inland,KZNIN,155,Warriors,WAR,206,City Oval,Pietermaritzburg,7200,-29.551181,30.407238,true,1970-01-20
League,7422,Bangladesh Premier League 2024,87113,41st Match,T20,2024-02-21,2024-02-21,Upcoming,"Match starts at Feb 21, 07:30 GMT",319,Comilla Victorians,CV,807,Fortune Barishal,BRSAL,128,Shere Bangla National Stadium,Dhaka,21600,23.806966,90.363576,true,1970-01-20
International,7572,ICC Cricket World Cup League Two 2023-27,89276,8th Match,ODI,2024-03-01,2024-03-01,Upcoming,"Match starts at Mar 01, 05:00 GMT",26,Canada,CAN,23,Scotland,SCO,153,Dubai International Cricket Stadium,Dubai,14400,25.046842,55.218969,true,1970-01-20
League,7492,"Pakistan Super League, 2024",88041,18th Match,T20,2024-03-02,2024-03-02,Upcoming,"Match starts at Mar 02, 14:30 GMT",330,Islamabad United,ISU,331,Quetta Gladiators,QTG,25,Rawalpindi Cricket Stadium,Rawalpindi,18000,33.651525,73.075824,true,1970-01-20
Women,7518,Womens Premier League 2024,88424,1st Match,T20,2024-02-23,2024-02-23,Upcoming,"Match starts at Feb 23, 14:00 GMT",1468,Mumbai Indians Women,MIW,1461,Delhi Capitals Women,DCW,27,M.Chinnaswamy Stadium,Bengaluru,19800,12.978853,77.599533,true,1970-01-20
International,7572,ICC Cricket World Cup League Two 2023-27,89252,3rd Match,ODI,2024-02-19,2024-02-19,Upcoming,"Match starts at Feb 19, 03:30 GMT",161,Namibia,NAM,24,Netherlands,NED,1489,Mulpani Cricket Ground,Kathmandu,20700,27.717245,85.323959,true,1970-01-20
League,7492,"Pakistan Super League, 2024",88034,17th Match,T20,2024-03-02,2024-03-02,Upcoming,"Match starts at Mar 02, 09:00 GMT",333,Lahore Qalandars,LHQ,334,Peshawar Zalmi,PSZ,25,Rawalpindi Cricket Stadium,Rawalpindi,18000,33.651525,73.075824,true,1970-01-20
League,7422,Bangladesh Premier League 2024,87117,42nd Match,T20,2024-02-21,2024-02-21,Upcoming,"Match starts at Feb 21, 12:30 GMT",627,Khulna Tigers,KLT,1412,Sylhet Strikers,SYST,128,Shere Bangla National Stadium,Dhaka,21600,23.806966,90.363576,true,1970-01-20
League,7257,"International League T20, 2024",82917,Final,T20,2024-02-17,2024-02-17,Preview,"Match starts at Feb 17, 14:30 GMT",1307,MI Emirates,MIE,1298,Dubai Capitals,DCP,153,Dubai International Cricket Stadium,Dubai,14400,25.046842,55.218969,true,1970-01-20
International,7572,ICC Cricket World Cup League Two 2023-27,89248,2nd Match,ODI,2024-02-17,2024-02-17,Upcoming,"Match starts at Feb 17, 03:30 GMT",72,Nepal,NEP,24,Netherlands,NED,1489,Mulpani Cricket Ground,Kathmandu,20700,27.717245,85.323959,true,1970-01-20
International,7572,ICC Cricket World Cup League Two 2023-27,89269,6th Match,ODI,2024-02-25,2024-02-25,Upcoming,"Match starts at Feb 25, 03:30 GMT",24,Netherlands,NED,72,Nepal,NEP,1489,Mulpani Cricket Ground,Kathmandu,20700,27.717245,85.323959,true,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74860,Plate Group Final,TEST,2024-02-17,2024-02-21,Upcoming,"Match starts at Feb 17, 04:00 GMT",242,Hyderabad,HYD,462,Meghalaya,MGLY,80,Rajiv Gandhi International Stadium,Hyderabad,19800,17.406495,78.550451,true,1970-01-20
International,7572,ICC Cricket World Cup League Two 2023-27,89259,4th Match,ODI,2024-02-21,2024-02-21,Upcoming,"Match starts at Feb 21, 03:30 GMT",72,Nepal,NEP,161,Namibia,NAM,1489,Mulpani Cricket Ground,Kathmandu,20700,27.717245,85.323959,true,1970-01-20
Women,7518,Womens Premier League 2024,88459,6th Match,T20,2024-02-28,2024-02-28,Upcoming,"Match starts at Feb 28, 14:00 GMT",1468,Mumbai Indians Women,MIW,1472,UP Warriorz,UPW,27,M.Chinnaswamy Stadium,Bengaluru,19800,12.978853,77.599533,true,1970-01-20
League,7492,"Pakistan Super League, 2024",87985,5th Match,T20,2024-02-20,2024-02-20,Upcoming,"Match starts at Feb 20, 14:30 GMT",437,Multan Sultans,MS,330,Islamabad United,ISU,22,Multan Cricket Stadium,Multan,18000,30.170782,71.524727,true,1970-01-20
League,7492,"Pakistan Super League, 2024",87995,7th Match,T20,2024-02-21,2024-02-21,Upcoming,"Match starts at Feb 21, 14:30 GMT",437,Multan Sultans,MS,333,Lahore Qalandars,LHQ,22,Multan Cricket Stadium,Multan,18000,30.170782,71.524727,true,1970-01-20
International,6899,"Australia tour of New Zealand, 2024",78110,1st Test,TEST,2024-02-28,2024-03-04,Upcoming,"Match starts at Feb 29, 22:00 GMT",13,New Zealand,NZ,4,Australia,AUS,45,Basin Reserve,Wellington,46800,-41.161720,175.323914,true,1970-01-20
International,6927,"England tour of India, 2024",78649,4th Test,TEST,2024-02-23,2024-02-27,Upcoming,"Match starts at Feb 23, 04:00 GMT",2,India,IND,9,England,ENG,291,JSCA International Stadium Complex,Ranchi,19800,23.310158,85.274824,true,1970-01-20
Domestic,7261,CSA Four-Day Series Division One 2023-24,83060,26th Match,TEST,2024-02-21,2024-02-24,Upcoming,"Match starts at Feb 21, 08:00 GMT",917,Western Province,WPR,90,Dolphins,DOL,52,Newlands,Cape Town,7200,-33.979629,18.459466,true,1970-01-20
League,7492,"Pakistan Super League, 2024",88009,11th Match,T20,2024-02-25,2024-02-25,Upcoming,"Match starts at Feb 25, 09:00 GMT",437,Multan Sultans,MS,331,Quetta Gladiators,QTG,22,Multan Cricket Stadium,Multan,18000,30.170782,71.524727,true,1970-01-20
League,7422,Bangladesh Premier League 2024,87103,38th Match,T20,2024-02-19,2024-02-19,Upcoming,"Match starts at Feb 19, 12:30 GMT",807,Fortune Barishal,BRSAL,256,Rangpur Riders,RGR,93,Zahur Ahmed Chowdhury Stadium,Chattogram,21600,22.355898,91.767766,true,1970-01-20
Women,7518,Womens Premier League 2024,88466,7th Match,T20,2024-02-29,2024-02-29,Upcoming,"Match starts at Feb 29, 14:00 GMT",1465,Royal Challengers Bangalore Women,RCBW,1461,Delhi Capitals Women,DCW,27,M.Chinnaswamy Stadium,Bengaluru,19800,12.978853,77.599533,true,1970-01-20
International,6899,"Australia tour of New Zealand, 2024",78096,2nd T20I,T20,2024-02-23,2024-02-23,Upcoming,"Match starts at Feb 23, 06:10 GMT",13,New Zealand,NZ,4,Australia,AUS,41,Eden Park,Auckland,43200,-36.874955,174.744735,true,1970-01-20
International,7572,ICC Cricket World Cup League Two 2023-27,89262,5th Match,ODI,2024-02-23,2024-02-23,Upcoming,"Match starts at Feb 23, 03:30 GMT",24,Netherlands,NED,161,Namibia,NAM,1489,Mulpani Cricket Ground,Kathmandu,20700,27.717245,85.323959,true,1970-01-20
League,7422,Bangladesh Premier League 2024,87089,36th Match,T20,2024-02-17,2024-02-17,Upcoming,"Match starts at Feb 17, 12:30 GMT",622,Chattogram Challengers,CGC,1895,Durdanto Dhaka,DRD,93,Zahur Ahmed Chowdhury Stadium,Chattogram,21600,22.355898,91.767766,true,1970-01-20
International,6899,"Australia tour of New Zealand, 2024",78103,3rd T20I,T20,2024-02-25,2024-02-25,Upcoming,"Match starts at Feb 25, 12:00 GMT",13,New Zealand,NZ,4,Australia,AUS,41,Eden Park,Auckland,43200,-36.874955,174.744735,true,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74870,2nd Quarter Final,TEST,2024-02-23,2024-02-27,Upcoming,"Match starts at Feb 23, 04:00 GMT",106,TBC,TBC,106,TBC,TBC,,TBC,TBC,19800,,,true,1970-01-20
Domestic,7261,CSA Four-Day Series Division One 2023-24,83057,25th Match,TEST,2024-02-21,2024-02-24,Upcoming,"Match starts at Feb 21, 08:00 GMT",1759,Boland,BOL,922,North West,NWEST,207,Boland Park,Paarl,7200,-33.730900,18.970760,true,1970-01-20
International,7481,"Afghanistan tour of Sri Lanka, 2024",87904,2nd T20I,T20,2024-02-19,2024-02-19,Upcoming,"Match starts at Feb 19, 13:30 GMT",5,Sri Lanka,SL,96,Afghanistan,AFG,13,Rangiri Dambulla International Stadium,Dambulla,19800,7.859556,80.634026,true,1970-01-20
League,7422,Bangladesh Premier League 2024,87096,37th Match,T20,2024-02-19,2024-02-19,Upcoming,"Match starts at Feb 19, 07:30 GMT",319,Comilla Victorians,CV,1412,Sylhet Strikers,SYST,93,Zahur Ahmed Chowdhury Stadium,Chattogram,21600,22.355898,91.767766,true,1970-01-20
League,7492,"Pakistan Super League, 2024",88002,9th Match,T20,2024-02-23,2024-02-23,Upcoming,"Match starts at Feb 23, 14:30 GMT",437,Multan Sultans,MS,334,Peshawar Zalmi,PSZ,22,Multan Cricket Stadium,Multan,18000,30.170782,71.524727,true,1970-01-20
League,7422,Bangladesh Premier League 2024,87085,35th Match,T20,2024-02-17,2024-02-17,Upcoming,"Match starts at Feb 17, 07:30 GMT",807,Fortune Barishal,BRSAL,1412,Sylhet Strikers,SYST,93,Zahur Ahmed Chowdhury Stadium,Chattogram,21600,22.355898,91.767766,true,1970-01-20
League,7422,Bangladesh Premier League 2024,87110,40th Match,T20,2024-02-20,2024-02-20,Upcoming,"Match starts at Feb 20, 12:30 GMT",319,Comilla Victorians,CV,256,Rangpur Riders,RGR,93,Zahur Ahmed Chowdhury Stadium,Chattogram,21600,22.355898,91.767766,true,1970-01-20
Women,7518,Womens Premier League 2024,88445,4th Match,T20,2024-02-26,2024-02-26,Upcoming,"Match starts at Feb 26, 14:00 GMT",1472,UP Warriorz,UPW,1461,Delhi Capitals Women,DCW,27,M.Chinnaswamy Stadium,Bengaluru,19800,12.978853,77.599533,true,1970-01-20
International,7481,"Afghanistan tour of Sri Lanka, 2024",87901,1st T20I,T20,2024-02-17,2024-02-17,Preview,"Match starts at Feb 17, 13:30 GMT",5,Sri Lanka,SL,96,Afghanistan,AFG,13,Rangiri Dambulla International Stadium,Dambulla,19800,7.859556,80.634026,true,1970-01-20
Domestic,7009,The Ford Trophy 2023-24,79546,30th Match,ODI,2024-02-17,2024-02-18,Upcoming,"Match starts at Feb 18, 22:00 GMT",186,Auckland,AKL,313,Central Districts,CD,418,Eden Park Outer Oval,Auckland,46800,-36.874039,174.745636,true,1970-01-20
International,7583,Nepal T20I Tri-Series 2024,89353,3rd Match,T20,2024-02-29,2024-02-29,Upcoming,"Match starts at Feb 29, 05:30 GMT",161,Namibia,NAM,24,Netherlands,NED,1489,Mulpani Cricket Ground,Kathmandu,20700,27.717245,85.323959,true,1970-01-20
Women,7518,Womens Premier League 2024,88438,3rd Match,T20,2024-02-25,2024-02-25,Upcoming,"Match starts at Feb 25, 14:00 GMT",1479,Gujarat Giants,GGT,1468,Mumbai Indians Women,MIW,27,M.Chinnaswamy Stadium,Bengaluru,19800,12.978853,77.599533,true,1970-01-20
International,7583,Nepal T20I Tri-Series 2024,89360,4th Match,T20,2024-03-01,2024-03-01,Upcoming,"Match starts at Mar 01, 05:30 GMT",72,Nepal,NEP,161,Namibia,NAM,1489,Mulpani Cricket Ground,Kathmandu,20700,27.717245,85.323959,true,1970-01-20
Domestic,6990,Sheffield Shield 2023-24,79279,25th Match,TEST,2024-02-29,2024-03-04,Upcoming,"Match starts at Mar 01, 23:30 GMT",104,New South Wales,NSW,158,South Australia,SAUS,396,Sydney Showground Stadium,Sydney,39600,-33.843277,151.067879,true,1970-01-20
International,7485,"Afghanistan v Ireland in UAE, 2024",87915,Only Test,TEST,2024-02-28,2024-03-03,Upcoming,"Match starts at Feb 28, 05:30 GMT",96,Afghanistan,AFG,27,Ireland,IRE,94,Sheikh Zayed Stadium,Abu Dhabi,14400,24.416138,54.453566,true,1970-01-20
League,7422,Bangladesh Premier League 2024,87127,Qualifier 1,T20,2024-02-25,2024-02-25,Upcoming,"Match starts at Feb 25, 12:30 GMT",106,TBC,TBC,106,TBC,TBC,128,Shere Bangla National Stadium,Dhaka,21600,23.806966,90.363576,true,1970-01-20
International,7558,East Asia Cup 2024,89070,Final,T20,2024-02-17,2024-02-17,Upcoming,"Match starts at Feb 17, 06:00 GMT",8,Hong Kong,HK,547,Japan,JPN,454,Mission Road Ground,Mong Kok,28800,22.323286,114.1828583,true,1970-01-20
League,7492,"Pakistan Super League, 2024",87999,8th Match,T20,2024-02-22,2024-02-22,Upcoming,"Match starts at Feb 22, 14:30 GMT",330,Islamabad United,ISU,331,Quetta Gladiators,QTG,26,Gaddafi Stadium,Lahore,18000,31.513467,74.333375,true,1970-01-20
League,7492,"Pakistan Super League, 2024",88027,15th Match,T20,2024-02-28,2024-02-28,Upcoming,"Match starts at Feb 28, 14:30 GMT",332,Karachi Kings,KRK,330,Islamabad United,ISU,24,National Stadium,Karachi,18000,24.892373,67.086411,true,1970-01-20
Domestic,7009,The Ford Trophy 2023-24,79552,Final (Q1 v Winner of Q2 or Q3),ODI,2024-02-23,2024-02-24,Upcoming,"Match starts at Feb 24, 22:00 GMT",106,TBC,TBC,106,TBC,TBC,,TBC,TBC,19800,,,true,1970-01-20
League,7492,"Pakistan Super League, 2024",88020,13th Match,T20,2024-02-26,2024-02-26,Upcoming,"Match starts at Feb 26, 14:30 GMT",330,Islamabad United,ISU,334,Peshawar Zalmi,PSZ,26,Gaddafi Stadium,Lahore,18000,31.513467,74.333375,true,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74888,1st Semi Final,TEST,2024-03-02,2024-03-06,Upcoming,"Match starts at Mar 02, 04:00 GMT",106,TBC,TBC,106,TBC,TBC,,TBC,TBC,19800,,,true,1970-01-20
Women,7518,Womens Premier League 2024,88480,9th Match,T20,2024-03-02,2024-03-02,Upcoming,"Match starts at Mar 02, 14:00 GMT",1465,Royal Challengers Bangalore Women,RCBW,1468,Mumbai Indians Women,MIW,27,M.Chinnaswamy Stadium,Bengaluru,19800,12.978853,77.599533,true,1970-01-20
International,7572,ICC Cricket World Cup League Two 2023-27,89273,7th Match,ODI,2024-02-28,2024-02-28,Upcoming,"Match starts at Feb 28, 05:00 GMT",7,United Arab Emirates,UAE,26,Canada,CAN,153,Dubai International Cricket Stadium,Dubai,14400,25.046842,55.218969,true,1970-01-20
League,7422,Bangladesh Premier League 2024,87106,39th Match,T20,2024-02-20,2024-02-20,Upcoming,"Match starts at Feb 20, 07:30 GMT",622,Chattogram Challengers,CGC,627,Khulna Tigers,KLT,93,Zahur Ahmed Chowdhury Stadium,Chattogram,21600,22.355898,91.767766,true,1970-01-20
Women,7518,Womens Premier League 2024,88452,5th Match,T20,2024-02-27,2024-02-27,Upcoming,"Match starts at Feb 27, 14:00 GMT",1465,Royal Challengers Bangalore Women,RCBW,1479,Gujarat Giants,GGT,27,M.Chinnaswamy Stadium,Bengaluru,19800,12.978853,77.599533,true,1970-01-20
International,7481,"Afghanistan tour of Sri Lanka, 2024",87911,3rd T20I,T20,2024-02-21,2024-02-21,Upcoming,"Match starts at Feb 21, 13:30 GMT",5,Sri Lanka,SL,96,Afghanistan,AFG,13,Rangiri Dambulla International Stadium,Dambulla,19800,7.859556,80.634026,true,1970-01-20
Women,7518,Womens Premier League 2024,88431,2nd Match,T20,2024-02-24,2024-02-24,Upcoming,"Match starts at Feb 24, 14:00 GMT",1465,Royal Challengers Bangalore Women,RCBW,1472,UP Warriorz,UPW,27,M.Chinnaswamy Stadium,Bengaluru,19800,12.978853,77.599533,true,1970-01-20
